(69325, 8)
(5993, 2)
(96504, 10)
(53004, 5)
(47757, 9)
(35668, 2)
(78906, 5)
(91584, 10)
(11045, 6)
(10378, 4)
(72499, 4)
(83007, 4)
(72778, 1)
(25799, 9)
(75669, 4)
(5559, 9)
(79436, 10)
(13135, 4)
(46616, 10)
(55233, 1)
(93103, 5)
(16590, 7)
(108, 10)
(58416, 7)
(98534, 6)
(78426, 9)
(8083, 5)
(3345, 3)
(57052, 3)
(29345, 8)
(57446, 5)
(96216, 5)
(38651, 5)
(27724, 3)
(28160, 5)
(79611, 5)
(73609, 9)
(10055, 5)
(93347, 2)
(22035, 2)
(67181, 9)
(99180, 6)
(35433, 9)
(76257, 7)
(6741, 10)
(90143, 5)
(35989, 2)
(79873, 5)
(46179, 4)
(37770, 8)
(51986, 9)
(83515, 3)
(88656, 1)
(17571, 4)
(75032, 7)
(35733, 9)
(49199, 4)
(71791, 1)
(468, 7)
(79003, 5)
(19441, 3)
(90699, 1)
(80185, 7)
(22785, 4)
(32413, 9)
(45313, 9)
(575, 2)
(37241, 7)
(9803, 1)
(78387, 9)
(61906, 1)
(34103, 5)
(40331, 2)
(25361, 5)
(44358, 5)
(36123, 8)
(57655, 2)
(58436, 5)
(59117, 1)
(1561, 2)
(28505, 1)
(50371, 8)
(57587, 5)
(38394, 10)
(44775, 10)
(69891, 2)
(32313, 4)
(39440, 2)
(6110, 5)
(35549, 7)
(31797, 10)
(13925, 5)
(80330, 8)
(58025, 9)
(48469, 9)
(87366, 7)
(14672, 2)
(65453, 10)
(99890, 5)
(54605, 8)
(34722, 3)
(67207, 9)
(49226, 3)
(80086, 10)
(52899, 10)
(9783, 2)
(72755, 6)
(68867, 8)
(27657, 1)
(10805, 1)
(11762, 10)
(29332, 3)
(59494, 9)
(88346, 4)
(9604, 7)
(47180, 2)
(47768, 2)
(21387, 4)
(68833, 10)
(11039, 6)
(58113, 3)
(40704, 5)
(94145, 7)
(59750, 10)
(21446, 7)
(85796, 8)
(65900, 2)
(42021, 3)
(4492, 1)
(40716, 3)
(45193, 2)
(93420, 1)
(29077, 6)
(69359, 5)
(33328, 5)
(12583, 6)
(68799, 2)
(21435, 1)
(18912, 5)
(21427, 2)
(48430, 8)
(11107, 1)
(10552, 2)
(63384, 1)
(69574, 7)
(40641, 5)
(79185, 8)
(21594, 6)
(2192, 10)
(44475, 5)
(98145, 6)
(67261, 8)
(74192, 4)
(92864, 4)
(95573, 10)
(11622, 9)
(14592, 8)
(65407, 10)
(84184, 8)
(16592, 2)
(43296, 4)
(3185, 2)
(64253, 8)
(12120, 1)
(25242, 7)
(23148, 7)
(39052, 9)
(27129, 10)
(20515, 10)
(70324, 10)
(83883, 2)
(78016, 3)
(70221, 4)
(72230, 3)
(19339, 5)
(21570, 4)
(59630, 10)
(1300, 10)
(66810, 5)
(55343, 2)
(43583, 4)
(94290, 1)
(59749, 7)
(97053, 2)
(98994, 6)
(62644, 9)
(40465, 1)
(56608, 9)
(24867, 10)
(92112, 5)
(62595, 5)
(88354, 9)
(82789, 3)
(69881, 1)
(26727, 7)
(2281, 2)
(14005, 7)
(13806, 8)
(37703, 7)
(12411, 8)
(37251, 6)
(61975, 6)
(15848, 6)
(83088, 3)
(9336, 4)
(28009, 5)
(1456, 2)
(7530, 2)
(14083, 4)
(68044, 10)
(86739, 3)
(83648, 4)
(71001, 5)
(38162, 6)
(25591, 6)
(57844, 3)
(38065, 9)
(4539, 1)
(82549, 8)
(16677, 2)
(75662, 6)
(89666, 7)
(16571, 8)
(3379, 3)
(47195, 5)
(34776, 6)
(39741, 2)
(67773, 8)
